file,species,px_cm,base_x,base_y,tip_x,tip_y,variety,plant,leaf,full_name,type
AMA1A_a.tif,Erythroxylym coca,28.4,271.0,195.25,127.5,189.0,AMA,1A,a,amazona,coca
AMA1A_b.tif,Erythroxylym coca,28.4,275.0,202.75,125.0,193.25,AMA,1A,b,amazona,coca
AMA1A_c.tif,Erythroxylym coca,28.4,271.25,202.5,127.75,194.0,AMA,1A,c,amazona,coca
AMA1A_d.tif,Erythroxylym coca,28.4,281.0,208.0,118.0,193.0,AMA,1A,d,amazona,coca
AMA1A_e.tif,Erythroxylym coca,28.4,284.25,210.25,115.5,200.0,AMA,1A,e,amazona,coca
AMA1A_f.tif,Erythroxylym coca,28.4,286.0,206.5,113.75,195.0,AMA,1A,f,amazona,coca
AMA1A_g.tif,Erythroxylym coca,28.4,290.0,202.75,108.5,202.25,AMA,1A,g,amazona,coca
AMA1A_h.tif,Erythroxylym coca,28.4,275.25,204.5,125.0,199.0,AMA,1A,h,amazona,coca
AMA1A_i.tif,Erythroxylym coca,28.4,279.833,209.833,119.833,196.167,AMA,1A,i,amazona,coca
AMA1A_j.tif,Erythroxylym coca,28.4,284.0,205.75,114.75,197.5,AMA,1A,j,amazona,coca
AMA1A_k.tif,Erythroxylym coca,28.4,284.0,209.75,115.5,185.0,AMA,1A,k,amazona,coca
AMA1A_l.tif,Erythroxylym coca,28.4,288.25,199.75,110.75,189.0,AMA,1A,l,amazona,coca
AMA1A_m.tif,Erythroxylym coca,28.4,288.0,199.75,110.75,189.0,AMA,1A,m,amazona,coca
AMA1A_n.tif,Erythroxylym coca,28.4,295.0,206.0,104.75,213.75,AMA,1A,n,amazona,coca
AMA1B_a.tif,Erythroxylym coca,28.4,293.25,202.0,105.75,197.0,AMA,1B,a,amazona,coca
AMA1B_b.tif,Erythroxylym coca,28.4,279.25,209.5,120.75,198.0,AMA,1B,b,amazona,coca
AMA1B_c.tif,Erythroxylym coca,28.4,282.0,200.75,116.75,195.0,AMA,1B,c,amazona,coca
AMA1B_d.tif,Erythroxylym coca,28.4,291.25,210.75,108.75,200.75,AMA,1B,d,amazona,coca
AMA1B_e.tif,Erythroxylym coca,28.4,290.5,206.75,108.75,200.0,AMA,1B,e,amazona,coca
AMA1B_f.tif,Erythroxylym coca,28.4,296.0,211.25,102.75,191.0,AMA,1B,f,amazona,coca
AMA1B_g.tif,Erythroxylym coca,28.4,319.167,198.833,79.833,201.5,AMA,1B,g,amazona,coca
AMA1B_h.tif,Erythroxylym coca,28.4,293.0,204.5,105.75,197.5,AMA,1B,h,amazona,coca
AMA1B_i.tif,Erythroxylym coca,28.4,298.833,199.167,100.167,199.5,AMA,1B,i,amazona,coca
