file,species,px_cm,base_x,base_y,tip_x,tip_y
AMA1A_a.tif,Erythroxylym coca,28.4,271,195.25,127.5,189
AMA1A_b.tif,Erythroxylym coca,28.4,275,202.75,125,193.25
AMA1A_c.tif,Erythroxylym coca,28.4,271.25,202.5,127.75,194
AMA1A_d.tif,Erythroxylym coca,28.4,281,208,118,193
AMA1A_e.tif,Erythroxylym coca,28.4,284.25,210.25,115.5,200
AMA1A_f.tif,Erythroxylym coca,28.4,286,206.5,113.75,195
AMA1A_g.tif,Erythroxylym coca,28.4,290,202.75,108.5,202.25
AMA1A_h.tif,Erythroxylym coca,28.4,275.25,204.5,125,199
AMA1A_i.tif,Erythroxylym coca,28.4,279.833,209.833,119.833,196.167
AMA1A_j.tif,Erythroxylym coca,28.4,284,205.75,114.75,197.5
AMA1A_k.tif,Erythroxylym coca,28.4,284,209.75,115.5,185
AMA1A_l.tif,Erythroxylym coca,28.4,288.25,199.75,110.75,189
AMA1A_m.tif,Erythroxylym coca,28.4,288,199.75,110.75,189
AMA1A_n.tif,Erythroxylym coca,28.4,295,206,104.75,213.75
AMA1B_a.tif,Erythroxylym coca,28.4,293.25,202,105.75,197
AMA1B_b.tif,Erythroxylym coca,28.4,279.25,209.5,120.75,198
AMA1B_c.tif,Erythroxylym coca,28.4,282,200.75,116.75,195
AMA1B_d.tif,Erythroxylym coca,28.4,291.25,210.75,108.75,200.75
AMA1B_e.tif,Erythroxylym coca,28.4,290.5,206.75,108.75,200
AMA1B_f.tif,Erythroxylym coca,28.4,296,211.25,102.75,191
AMA1B_g.tif,Erythroxylym coca,28.4,319.167,198.833,79.833,201.5
AMA1B_h.tif,Erythroxylym coca,28.4,293,204.5,105.75,197.5
AMA1B_i.tif,Erythroxylym coca,28.4,298.833,199.167,100.167,199.5
AMA1B_j.tif,Erythroxylym coca,28.4,294,220,104.5,196
AMA1M_a.tif,Erythroxylym coca,28.4,272,191.75,127.75,196.25
AMA1M_b.tif,Erythroxylym coca,28.4,265.333,195.667,134.5,198
AMA1M_c.tif,Erythroxylym coca,28.4,265,196.667,133.667,196.167
AMA1M_d.tif,Erythroxylym coca,28.4,261.667,195.167,138.5,206
AMA1M_e.tif,Erythroxylym coca,28.4,279.25,209,120.75,197.5
AMA1M_f.tif,Erythroxylym coca,28.4,272.25,193.25,127.75,204.75
AMA1M_g.tif,Erythroxylym coca,28.4,274,199.5,126,203
AMA1M_h.tif,Erythroxylym coca,28.4,278,194,120.75,197.5
AMA1M_i.tif,Erythroxylym coca,28.4,314.167,201.167,84.833,199.5
AMA1M_j.tif,Erythroxylym coca,28.4,324.167,194.167,74.5,194.5
AMA1M_k.tif,Erythroxylym coca,28.4,327.833,206.5,69.833,203.5
AMA2A_a.tif,Erythroxylym coca,28.4,292.25,200,106.75,201.75
AMA2A_b.tif,Erythroxylym coca,28.4,275,201,123.75,192.5
AMA2A_c.tif,Erythroxylym coca,28.4,279.5,201.25,120.75,194.5
AMA2A_d.tif,Erythroxylym coca,28.4,328.167,209.167,71.5,179.167
AMA2A_e.tif,Erythroxylym coca,28.4,258.5,206.167,140.667,202
AMA2A_f.tif,Erythroxylym coca,28.4,308.167,200.833,90.833,211.167
AMA2A_g.tif,Erythroxylym coca,28.4,319.167,212.167,79.5,197.167
AMA2A_h.tif,Erythroxylym coca,28.4,303.167,199.167,97.167,194.167
AMA2A_i.tif,Erythroxylym coca,28.4,300.5,206.167,99.167,197.167
AMA2A_j.tif,Erythroxylym coca,28.4,276.25,206,121.75,195.5
AMA2B_a.tif,Erythroxylym coca,28.4,319.167,215.833,79.833,208.5
AMA2B_b.tif,Erythroxylym coca,28.4,283,196.25,116.75,197.5
AMA2B_c.tif,Erythroxylym coca,28.4,281.25,193.5,119,206
AMA2B_d.tif,Erythroxylym coca,28.4,283.5,192.75,115.75,218
AMA2B_e.tif,Erythroxylym coca,28.4,269.25,180.5,129.5,213.75
AMA2B_f.tif,Erythroxylym coca,28.4,335,203.5,64,206.167
AMA2B_g.tif,Erythroxylym coca,28.4,331,204,67,202
AMA2B_h.tif,Erythroxylym coca,28.4,307.167,195.5,92.5,202.5
AMA2B_i.tif,Erythroxylym coca,28.4,312.5,198.167,87.833,211.833
AMA2B_j.tif,Erythroxylym coca,28.4,278.25,191,120.75,215
AMA2B_k.tif,Erythroxylym coca,28.4,352,190.5,45,215
AMA2M_a.tif,Erythroxylym coca,28.4,286.25,193.5,112.5,205
AMA2M_b.tif,Erythroxylym coca,28.4,299.833,204.167,98.833,203.167
AMA2M_c.tif,Erythroxylym coca,28.4,307.833,199.167,90.833,203.5
AMA2M_d.tif,Erythroxylym coca,28.4,298.833,202.5,99.5,200.167
AMA2M_e.tif,Erythroxylym coca,28.4,289.25,209,110.75,195.5
AMA2M_f.tif,Erythroxylym coca,28.4,299.167,210.5,100.167,202.833
AMA2M_g.tif,Erythroxylym coca,28.4,284.25,195.5,115.75,204
AMA2M_h.tif,Erythroxylym coca,28.4,308.833,200.5,90.5,195.167
AMA2M_i.tif,Erythroxylym coca,28.4,289.25,199.5,110.75,201.25
AMA2M_j.tif,Erythroxylym coca,28.4,289,200.75,110,204.25
AMA2M_k.tif,Erythroxylym coca,28.4,296.25,206.75,104,202
AMA3A_a.tif,Erythroxylym coca,28.4,281.25,198.75,118.75,215
AMA3A_b.tif,Erythroxylym coca,28.4,303.167,206.167,97.167,203.833
AMA3A_c.tif,Erythroxylym coca,28.4,291.25,199.75,108.75,203.25
AMA3A_d.tif,Erythroxylym coca,28.4,316.833,196.167,82.5,196.167
AMA3A_e.tif,Erythroxylym coca,28.4,304.5,195.833,94.833,198.833
AMA3A_f.tif,Erythroxylym coca,28.4,330.5,198.5,67.833,209.167
AMA3A_g.tif,Erythroxylym coca,28.4,329.167,201.167,70.5,201.833
AMA3A_h.tif,Erythroxylym coca,28.4,271,192.5,128.75,204.5
