PCA Explained Variance Report (Combined Dataset):
Total Samples: 3565
Total Features (landmarks * dimensions): 198
Number of PCs Calculated: 198

PC: var, overall
PC1: 61.31%, 61.31%
PC2: 17.09%, 78.39%
PC3: 9.24%, 87.64%
PC4: 3.02%, 90.65%
PC5: 1.76%, 92.42%
PC6: 1.16%, 93.58%
PC7: 1.05%, 94.63%
PC8: 0.68%, 95.31%
PC9: 0.61%, 95.92%
PC10: 0.5%, 96.42%
PC11: 0.4%, 96.82%
PC12: 0.32%, 97.13%
PC13: 0.3%, 97.43%
PC14: 0.25%, 97.68%
PC15: 0.22%, 97.9%
PC16: 0.19%, 98.09%
PC17: 0.16%, 98.25%
PC18: 0.12%, 98.38%
PC19: 0.11%, 98.49%
PC20: 0.11%, 98.59%
PC21: 0.09%, 98.69%
PC22: 0.07%, 98.76%
PC23: 0.07%, 98.83%
PC24: 0.07%, 98.9%
PC25: 0.05%, 98.95%
PC26: 0.05%, 99.0%
PC27: 0.05%, 99.05%
PC28: 0.05%, 99.1%
PC29: 0.04%, 99.14%
PC30: 0.04%, 99.17%
PC31: 0.03%, 99.21%
PC32: 0.03%, 99.24%
PC33: 0.03%, 99.27%
PC34: 0.03%, 99.29%
PC35: 0.03%, 99.32%
PC36: 0.02%, 99.34%
PC37: 0.02%, 99.37%
PC38: 0.02%, 99.39%
PC39: 0.02%, 99.41%
PC40: 0.02%, 99.42%
PC41: 0.02%, 99.44%
PC42: 0.02%, 99.46%
PC43: 0.02%, 99.47%
PC44: 0.01%, 99.49%
PC45: 0.01%, 99.5%
PC46: 0.01%, 99.52%
PC47: 0.01%, 99.53%
PC48: 0.01%, 99.54%
PC49: 0.01%, 99.55%
PC50: 0.01%, 99.56%
PC51: 0.01%, 99.57%
PC52: 0.01%, 99.58%
PC53: 0.01%, 99.59%
PC54: 0.01%, 99.6%
PC55: 0.01%, 99.61%
PC56: 0.01%, 99.62%
PC57: 0.01%, 99.63%
PC58: 0.01%, 99.64%
PC59: 0.01%, 99.65%
PC60: 0.01%, 99.65%
PC61: 0.01%, 99.66%
PC62: 0.01%, 99.67%
PC63: 0.01%, 99.68%
PC64: 0.01%, 99.69%
PC65: 0.01%, 99.69%
PC66: 0.01%, 99.7%
PC67: 0.01%, 99.71%
PC68: 0.01%, 99.71%
PC69: 0.01%, 99.72%
PC70: 0.01%, 99.73%
PC71: 0.01%, 99.73%
PC72: 0.01%, 99.74%
PC73: 0.01%, 99.74%
PC74: 0.01%, 99.75%
PC75: 0.01%, 99.76%
PC76: 0.01%, 99.76%
PC77: 0.01%, 99.77%
PC78: 0.01%, 99.77%
PC79: 0.01%, 99.78%
PC80: 0.01%, 99.78%
PC81: 0.01%, 99.79%
PC82: 0.01%, 99.79%
PC83: 0.01%, 99.8%
PC84: 0.01%, 99.81%
PC85: 0.01%, 99.81%
PC86: 0.0%, 99.82%
PC87: 0.0%, 99.82%
PC88: 0.0%, 99.82%
PC89: 0.0%, 99.83%
PC90: 0.0%, 99.83%
PC91: 0.0%, 99.84%
PC92: 0.0%, 99.84%
PC93: 0.0%, 99.85%
PC94: 0.0%, 99.85%
PC95: 0.0%, 99.86%
PC96: 0.0%, 99.86%
PC97: 0.0%, 99.87%
PC98: 0.0%, 99.87%
PC99: 0.0%, 99.87%
PC100: 0.0%, 99.88%
PC101: 0.0%, 99.88%
PC102: 0.0%, 99.89%
PC103: 0.0%, 99.89%
PC104: 0.0%, 99.89%
PC105: 0.0%, 99.9%
PC106: 0.0%, 99.9%
PC107: 0.0%, 99.91%
PC108: 0.0%, 99.91%
PC109: 0.0%, 99.91%
PC110: 0.0%, 99.92%
PC111: 0.0%, 99.92%
PC112: 0.0%, 99.92%
PC113: 0.0%, 99.93%
PC114: 0.0%, 99.93%
PC115: 0.0%, 99.93%
PC116: 0.0%, 99.94%
PC117: 0.0%, 99.94%
PC118: 0.0%, 99.94%
PC119: 0.0%, 99.94%
PC120: 0.0%, 99.95%
PC121: 0.0%, 99.95%
PC122: 0.0%, 99.95%
PC123: 0.0%, 99.96%
PC124: 0.0%, 99.96%
PC125: 0.0%, 99.96%
PC126: 0.0%, 99.96%
PC127: 0.0%, 99.97%
PC128: 0.0%, 99.97%
PC129: 0.0%, 99.97%
PC130: 0.0%, 99.97%
PC131: 0.0%, 99.97%
PC132: 0.0%, 99.97%
PC133: 0.0%, 99.98%
PC134: 0.0%, 99.98%
PC135: 0.0%, 99.98%
PC136: 0.0%, 99.98%
PC137: 0.0%, 99.98%
PC138: 0.0%, 99.98%
PC139: 0.0%, 99.98%
PC140: 0.0%, 99.98%
PC141: 0.0%, 99.98%
PC142: 0.0%, 99.98%
PC143: 0.0%, 99.98%
PC144: 0.0%, 99.99%
PC145: 0.0%, 99.99%
PC146: 0.0%, 99.99%
PC147: 0.0%, 99.99%
PC148: 0.0%, 99.99%
PC149: 0.0%, 99.99%
PC150: 0.0%, 99.99%
PC151: 0.0%, 99.99%
PC152: 0.0%, 99.99%
PC153: 0.0%, 99.99%
PC154: 0.0%, 99.99%
PC155: 0.0%, 99.99%
PC156: 0.0%, 99.99%
PC157: 0.0%, 99.99%
PC158: 0.0%, 99.99%
PC159: 0.0%, 99.99%
PC160: 0.0%, 99.99%
PC161: 0.0%, 99.99%
PC162: 0.0%, 99.99%
PC163: 0.0%, 100.0%
PC164: 0.0%, 100.0%
PC165: 0.0%, 100.0%
PC166: 0.0%, 100.0%
PC167: 0.0%, 100.0%
PC168: 0.0%, 100.0%
