Class,Precision 1st,Recall 1st,F1 1st,Precision 2nd,Recall 2nd,F1 2nd
amazona,1.0000,1.0000,1.0000,0.9318,0.9609,0.9462
boliviana blanca,1.0000,1.0000,1.0000,0.9481,0.9068,0.9270
boliviana roja,1.0000,1.0000,1.0000,0.8802,0.9245,0.9018
chiparra,1.0000,1.0000,1.0000,0.8990,0.7853,0.8383
chirosa,1.0000,1.0000,1.0000,0.9036,0.9259,0.9146
crespa,1.0000,1.0000,1.0000,0.9271,0.9570,0.9418
dulce,1.0000,1.0000,1.0000,0.8802,0.9545,0.9159
gigante,1.0000,1.0000,1.0000,0.9062,0.9295,0.9177
guayaba roja,1.0000,1.0000,1.0000,0.9236,0.9539,0.9385
patirroja,1.0000,1.0000,1.0000,0.9187,0.8963,0.9074
peruana roja,1.0000,1.0000,1.0000,0.7634,0.8606,0.8091
tingo maria,1.0000,1.0000,1.0000,0.9728,0.9051,0.9377
tingo pajarita,1.0000,1.0000,1.0000,0.9712,0.9712,0.9712
tingo pajarita caucana,1.0000,1.0000,1.0000,0.9795,0.9550,0.9671
tingo peruana,1.0000,1.0000,1.0000,0.8954,0.8896,0.8925
trujillense caucana,1.0000,1.0000,1.0000,0.8951,0.9295,0.9119
macro avg.,1.0000,1.0000,1.0000,0.9122,0.9191,0.9149
weighted avg.,1.0000,1.0000,1.0000,0.9109,0.9092,0.9091
