Dataset,Class,Precision,Recall,F1
Plowman,macro avg.,1,1,1
Plowman,weighted avg.,1,1,1
Plowman,coca,1,1,1
Plowman,ipadu,1,1,1
Plowman,novogranatense,1,1,1
Plowman,truxillense,1,1,1
Cultigens (1st),macro avg.,0.9329,0.9592,0.9446
Cultigens (1st),weighted avg.,0.9326,0.9279,0.9286
Cultigens (1st),coca,0.9701,0.9,0.9337
Cultigens (1st),ipadu,0.8315,0.9367,0.881
Cultigens (1st),novogranatense,0.9302,1,0.9639
Cultigens (1st),truxillense,1,1,1
Wildspecies,macro avg.,0.9682,0.978,0.9729
Wildspecies,weighted avg.,0.964,0.9636,0.9636
Wildspecies,coca,0.956,0.9667,0.9613
Wildspecies,ipadu,0.9494,0.9494,0.9494
Wildspecies,novogranatense,1,1,1
Wildspecies,truxillense,0.9524,1,0.9756
Wildspecies,cataractarum,0.9482,0.9683,0.9581
Wildspecies,foetidum,0.9556,1,0.9773
Wildspecies,gracilipes,0.9843,0.94,0.9616
Wildspecies,lineolatum,1,1,1
